@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

seismic-bumps,2,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,226,32,0,87.596899,12.403101,0,0.241316,0.132151,0.329214,107.157009,132.698059,90.403637,278.969617,-188.56598,0.350402,1.081278,-0.730876,-52.325654,-0.202813,-57.880032,0.411765,7,0.091286,22,0.908714,219,0.588235,10,0.241379,0.411765,0.304348,0.251718,0.801074,0.221025,0.875969,0.555491,0.444509,0.124031,0.909223,0.875969,0.890564,0.251718,0.801074,0.931989,0.618131,0.875969,0.001,0.002,0,0,0,0,5791,423407,49099,93.023256,57.751938,?
seismic-bumps,3,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,216,43,0,83.397683,16.602317,0,0.196059,0.171117,0.36837,138.973702,148.747734,90.502467,310.962304,-220.459837,0.34943,1.200627,-0.851196,-102.533721,-0.395883,-113.293841,0.470588,8,0.140496,34,0.859504,208,0.529412,9,0.190476,0.470588,0.271186,0.221775,0.833982,0.190762,0.833977,0.503884,0.496116,0.166023,0.908113,0.833977,0.86463,0.221775,0.833982,0.934513,0.588752,0.833977,0.001,0.002,0,0,0,0,5791,423226,49280,92.277992,60.03861,?
seismic-bumps,3,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,228,31,0,88.030888,11.969112,0,0.216912,0.129981,0.316112,105.565059,127.646091,90.502467,675.29893,-584.796463,0.34943,2.607332,-2.257901,-56.702955,-0.21893,-62.653491,0.352941,6,0.082645,20,0.917355,222,0.647059,11,0.230769,0.352941,0.27907,0.222745,0.763004,0.208952,0.880309,0.610012,0.389988,0.119691,0.905398,0.880309,0.891701,0.222745,0.762777,0.927883,0.606903,0.880309,0.002,0.008,0,0,0,0,5791,423226,49280,93.050193,57.335907,?
seismic-bumps,3,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,224,35,0,86.486486,13.513514,0,0.218737,0.148892,0.349501,120.923513,141.128495,90.502467,512.096219,-421.593752,0.34943,1.977205,-1.627775,-75.120038,-0.290039,-83.003304,0.411765,7,0.103306,25,0.896694,217,0.588235,10,0.21875,0.411765,0.285714,0.232135,0.731162,0.204767,0.864865,0.556406,0.443594,0.135135,0.90756,0.864865,0.883388,0.232135,0.731162,0.917442,0.605544,0.864865,0.001,0.002,0,0.015625,0,15.625,5791,423226,49280,90.733591,56.563707,?
seismic-bumps,3,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,227,32,0,87.644788,12.355212,0,0.241581,0.130359,0.324414,105.872056,130.998273,90.502467,687.248936,-596.746469,0.34943,2.653471,-2.30404,-45.512514,-0.175724,-50.288699,0.411765,7,0.090909,22,0.909091,220,0.588235,10,0.241379,0.411765,0.304348,0.251987,0.822557,0.220854,0.876448,0.555592,0.444408,0.123552,0.909582,0.876448,0.890993,0.251987,0.822557,0.934986,0.618276,0.876448,0.002,0.001,0,0,0,0,5791,423226,49280,92.664093,57.915058,?
seismic-bumps,3,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,219,39,0,84.883721,15.116279,0,0.191807,0.154961,0.357668,125.652405,144.167184,90.403637,304.835156,-214.431519,0.350402,1.181532,-0.83113,-85.630198,-0.3319,-94.719859,0.411765,7,0.120332,29,0.879668,212,0.588235,10,0.194444,0.411765,0.264151,0.208662,0.754699,0.250454,0.848837,0.557404,0.442596,0.151163,0.904844,0.848837,0.872831,0.208662,0.754699,0.915171,0.589959,0.848837,0.001,0.001,0,0,0,0,5791,423407,49099,91.860465,57.945736,?
seismic-bumps,3,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,228,30,0,88.372093,11.627907,0,0.258194,0.125047,0.324767,101.396472,130.905827,90.403637,745.485084,-655.081447,0.350402,2.889477,-2.539075,-47.686261,-0.18483,-52.748167,0.411765,7,0.082988,20,0.917012,221,0.588235,10,0.259259,0.411765,0.318182,0.266469,0.735904,0.19324,0.883721,0.554944,0.445056,0.116279,0.910754,0.883721,0.895703,0.266469,0.735904,0.920667,0.627311,0.883721,0.002,0.001,0.015625,0,15.625,0,5791,423407,49099,91.860465,55.813953,?
seismic-bumps,3,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,222,36,0,86.046512,13.953488,0,0.14648,0.144626,0.350419,117.272057,141.245277,90.403637,496.332083,-405.928446,0.350402,1.923768,-1.573366,-65.350805,-0.253298,-72.287805,0.294118,5,0.099585,24,0.900415,217,0.705882,12,0.172414,0.294118,0.217391,0.152795,0.692214,0.19304,0.860465,0.665933,0.334067,0.139535,0.89652,0.860465,0.876884,0.152795,0.692214,0.900715,0.570398,0.860465,0.002,0.001,0,0,0,0,5791,423407,49099,90.697674,56.007752,?
seismic-bumps,3,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,230,28,0,89.147287,10.852713,0,0.276587,0.115415,0.311748,93.585959,125.658058,90.403637,213.534402,-123.130765,0.350402,0.827653,-0.477251,-33.689007,-0.130578,-37.265101,0.411765,7,0.074689,18,0.925311,223,0.588235,10,0.28,0.411765,0.333333,0.282691,0.806932,0.304337,0.891473,0.554397,0.445603,0.108527,0.912468,0.891473,0.900893,0.282691,0.806932,0.937949,0.637131,0.891473,0.002,0.001,0,0,0,0,5791,423407,49099,92.635659,54.651163,?
seismic-bumps,3,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,222,36,0,86.046512,13.953488,0,0.211411,0.15079,0.351712,122.270081,141.766337,90.403637,511.591579,-421.187942,0.350402,1.982913,-1.632511,-70.11555,-0.271766,-77.558329,0.411765,7,0.107884,26,0.892116,215,0.588235,10,0.212121,0.411765,0.28,0.225729,0.787649,0.181454,0.860465,0.556584,0.443416,0.139535,0.90657,0.860465,0.880395,0.225729,0.787649,0.928174,0.601373,0.860465,0.002,0.001,0.015625,0,15.625,0,5791,423407,49099,91.085271,56.782946,?
seismic-bumps,3,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,219,39,0,84.883721,15.116279,0,0.094003,0.158803,0.378564,128.768151,152.59001,90.403637,559.497395,-469.093758,0.350402,2.168595,-1.818193,-77.751879,-0.301364,-86.005255,0.235294,4,0.107884,26,0.892116,215,0.764706,13,0.133333,0.235294,0.170213,0.098607,0.708323,0.133943,0.848837,0.721427,0.278573,0.151163,0.889633,0.848837,0.867648,0.098607,0.708323,0.916726,0.543529,0.848837,0.002,0.001,0,0,0,0,5791,423407,49099,87.596899,54.457364,?
seismic-bumps,4,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,225,34,0,86.872587,13.127413,0,0.22605,0.142462,0.341805,115.701546,138.020849,90.502467,713.043625,-622.541158,0.34943,2.753064,-2.403634,-68.169179,-0.263201,-75.323007,0.411765,7,0.099174,24,0.900826,218,0.588235,10,0.225806,0.411765,0.291667,0.238485,0.802625,0.192179,0.868726,0.556135,0.443865,0.131274,0.908203,0.868726,0.885915,0.238485,0.802625,0.932071,0.609663,0.868726,0.002,0.001,0,0,0,0,5791,423226,49280,91.891892,56.949807,?
seismic-bumps,4,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,232,27,0,89.57529,10.42471,0,0.252325,0.121805,0.310782,98.924281,125.493779,90.502467,443.84303,-353.340563,0.34943,1.71368,-1.364249,-44.569185,-0.172082,-49.246376,0.352941,6,0.066116,16,0.933884,226,0.647059,11,0.272727,0.352941,0.307692,0.254779,0.743437,0.237128,0.895753,0.608927,0.391073,0.104247,0.908897,0.895753,0.901891,0.254779,0.743323,0.925025,0.625662,0.895753,0.002,0.001,0,0,0,0,5791,423226,49280,92.277992,56.563707,?
seismic-bumps,4,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,222,37,0,85.714286,14.285714,0,0.140769,0.151928,0.356009,123.389078,143.756343,90.502467,515.29997,-424.797503,0.34943,1.989575,-1.640145,-78.822637,-0.304335,-87.094462,0.294118,5,0.103306,25,0.896694,217,0.705882,12,0.166667,0.294118,0.212766,0.147659,0.684978,0.186624,0.857143,0.666331,0.333669,0.142857,0.89634,0.857143,0.874928,0.147659,0.684978,0.915401,0.567105,0.857143,0.002,0.029,0,0,0,0,5791,423226,49280,89.96139,56.370656,?
seismic-bumps,4,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2325,259,219,40,0,84.555985,15.444015,0,0.156214,0.162418,0.375842,131.909072,151.765257,90.502467,574.103108,-483.600641,0.34943,2.216614,-1.867184,-82.789356,-0.31965,-91.477458,0.352941,6,0.119835,29,0.880165,213,0.647059,11,0.171429,0.352941,0.230769,0.168861,0.713418,0.199737,0.84556,0.612453,0.387547,0.15444,0.899731,0.84556,0.869307,0.168861,0.713418,0.909515,0.572466,0.84556,0.002,0.001,0,0,0,0,5791,423226,49280,89.96139,57.335907,?
seismic-bumps,4,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190922.2029,2326,258,218,40,0,84.496124,15.503876,0,0.12379,0.16201,0.370972,131.368341,149.529559,90.403637,362.363963,-271.960326,0.350402,1.404511,-1.05411,-84.463661,-0.327379,-93.429494,0.294118,5,0.116183,28,0.883817,213,0.705882,12,0.151515,0.294118,0.2,0.132174,0.743471,0.157419,0.844961,0.667026,0.332974,0.155039,0.894273,0.844961,0.867106,0.132174,0.743471,0.915969,0.557082,0.844961,0.002,0.001,0,0,0,0,5791,423407,49099,90.310078,56.782946,?
